1000 49.4 5.2

1100 60.5 7.0

1200 71.0 8.9

1300 81.1 11.0

1400 90.6 13.3

1500 99.6 15.6

1600 108.1 18.1

1700 116.1 20.7

1800 123.6 23.3

1900 130.5 26.0

2000 136.9 28.7

2100 142.9 31.4

2200 148.3 34.2

2300 153.2 36.9

2400 157.5 39.6

2500 161.4 42.3

2600 164.7 44.8

2700 167.6 47.4

2800 169.9 49.8

2900 171.7 52.1

3000 173.0 54.4

3100 173.7 56.4

3200 174.0 58.3

3300 173.9 60.1

3400 173.8 61.9

3500 173.5 63.6

3600 173.2 65.3

3700 172.7 66.9

3800 172.2 68.5

3900 171.5 70.0

4000 170.8 71.5

4100 169.9 72.9

4200 169.0 74.3

4300 167.9 75.6

4400 166.7 76.8

4500 165.5 78.0

4600 164.1 79.1

4700 162.6 80.0

4800 161.1 81.0

4900 159.4 81.8

5000 157.7 82.6

5100 155.8 83.2

5200 153.8 83.8

5300 151.8 84.3

5400 149.6 84.6

5500 147.3 84.8

5600 144.9 85.0

5700 141.8 84.6

5800 137.7 83.6

5900 132.6 81.9

6000 126.6 79.5

6100 119.8 76.5
